question_id,question,answer_a,answer_b,answer_c,answer_d,correct,explanation_correct
MKC022,What is the purpose of a Virtual Private Network (VPN)?,Blocking malware on computers,Hiding your IP and encrypting traffic,Disabling firewall protection,Creating data backups,B,"That's right! A VPN's primary purposes are to hide your IP address (providing anonymity) and encrypt your internet traffic (providing security), protecting your online privacy and data from interception."
MKC023,What is a secure protocol for transferring data over the internet?,HTTP,HTTPS,FTP,POP3,B,"That's right! HTTPS (Hypertext Transfer Protocol Secure) encrypts data in transit using SSL/TLS protocols, protecting information from interception during transmission between web browsers and servers."
MKC024,What is an Incident Response Plan (IRP)?,Creating backup procedures,Instructions for managing security incidents,Writing strong passwords,Software update checklists,B,"That's right! An Incident Response Plan is a documented strategy that outlines procedures for detecting, responding to, containing, and recovering from cybersecurity incidents to minimize damage and restore normal operations."
MKC025,What is penetration testing?,Testing software for programming bugs,Simulating attacks to find security flaws,Training employees on security awareness,Scanning networks for virus infections,B,"That's right! Penetration testing involves authorized security professionals simulating real-world cyberattacks to identify vulnerabilities, weaknesses, and security gaps before malicious hackers can exploit them."
MKC026,What is spyware?,Software secretly monitoring user activity,Programs blocking spam emails,Methods encrypting sensitive files,Tools managing passwords,A,"That's right! Spyware is malicious software that secretly monitors and collects user information such as browsing habits, keystrokes, and personal data without the user's knowledge or consent."
MKC027,Which of the following is an example of a strong phishing indicator?,Email from a legitimate company address,Requests for personal information via email,Properly spelled email signature,Secure HTTPS link,B,"That's right! Legitimate organizations never request sensitive personal information via email. This is a major red flag indicating a phishing attempt, as attackers use this tactic to steal credentials and personal data."
MKC028,What is SQL Injection?,A method to secure databases,A tool for writing SQL,An attack exploiting SQL flaws,Software updating databases,C,"That's right! SQL Injection is a code injection attack that exploits vulnerabilities in database-driven applications by inserting malicious SQL statements, allowing attackers to view, modify, or delete database contents."
MKC029,What is keylogging?,Monitoring network traffic,Logging into accounts,Encrypting files,Recording keystrokes,D,"That's right! Keylogging involves recording every keystroke made on a computer, allowing attackers to capture sensitive information like passwords, credit card numbers, and confidential messages without the user's knowledge."
MKC030,What is the purpose of a security patch?,Fixing vulnerabilities in software,Updating antivirus definitions,Resetting user passwords,Upgrading hardware,A,"That's right! Security patches are software updates released by vendors to fix identified vulnerabilities and security flaws, preventing attackers from exploiting these weaknesses to compromise systems."
MKC031,What should you do before clicking a link in an email?,Save it for later,Click to verify,Forward to IT,Check sender and URL,D,"That's right! Before clicking any link, you should verify the sender's authenticity and hover over the link to inspect the actual URL destination, as phishing emails often use misleading links to direct victims to malicious websites."
MKC032,What is the purpose of a security badge or access card?,Identifying users in the organization,Monitoring all network traffic,Managing user passwords,Controlling physical access to areas,D,"That's right! Security badges and access cards control physical access to secure areas by authenticating authorized personnel, ensuring only approved individuals can enter restricted facilities or rooms."
MKC033,What is the best way to dispose of sensitive documents?,Recycle them,Give to employees,Save digitally,Shred them,D,"That's right! Shredding sensitive documents ensures they cannot be reconstructed or read by unauthorized individuals, preventing information leakage through improper disposal or dumpster diving attacks."
MKC034,What is the most effective way to prevent cyber security threats?,Installing antivirus and firewalls only,Avoiding all software updates completely,Backing up all data every single day,Educating employees and users about risks,D,"That's right! While technical controls are important, human error is the leading cause of security breaches. Education and awareness training are the most effective defenses, as informed users can recognize and avoid threats."
MKC035,What should you do if you suspect a security incident?,Ignore it,Disconnect systems,Fix it yourself,Report to IT team,D,"That's right! Suspected security incidents should be immediately reported to the appropriate IT or security team who have the expertise and authority to investigate, contain, and remediate the threat properly."
MKC036,Why is Cyber Security important?,Enhance gaming,Restrict internet,Increase speed,Protect data,D,"That's right! Cyber security is crucial for protecting sensitive data, maintaining business operations, ensuring privacy, and preventing financial and reputational damage from unauthorized access, theft, or malicious attacks."
MKC037,What is a Firewall and what are the benefits of one?,Physical barrier stopping all data loss,Backup system for power outages,Tool boosting network speeds,Device controlling network traffic,D,"That's right! A firewall is a network security device that monitors and filters traffic based on security rules, acting as a barrier to block unauthorized access while allowing legitimate communication to pass through."
MKC038,What is Data Leakage?,Water leaking into servers,Slow internet connection,Unauthorised data transmission,Power loss in devices,C,"That's right! Data leakage occurs when sensitive information is accidentally or maliciously transmitted, exposed, or disclosed to unauthorized parties, potentially through email errors, misconfigurations, or insider threats."
MKC039,What is a DDOS attack?,Multiple systems overwhelming a target,Single computer hacking databases,Phishing methods extracting credentials,Strategy improving website speed,A,"That's right! A DDOS attack uses multiple compromised systems (often a botnet) to flood a target with overwhelming traffic, exhausting resources and making services unavailable to legitimate users."
MKC040,"When creating an Incident Response Plan (IRP), what should you include?",Detailed steps for server maintenance,Random troubleshooting checklist,Procedures for managing security incidents,Contact list for non-urgent matters,C,"That's right! An effective IRP must include clear procedures for the entire incident lifecycle: identification, containment, mitigation, eradication, recovery, and post-incident analysis to ensure organized and effective response."
