question,answer,,
What is the difference between short-term and long-term containment?,"Short-term containment involves immediate actions like isolating the portion of the network under threat, while long-term containment includes sustained measures to prevent further spread.",,
What is the goal of the 'Eradication' step in the SANS lifecycle?,To remove malware from all infected devices and identify the root cause of the attack - making sure it's completely gone and understanding how it got in.,,
"During the 'Recovery' phase of the SANS lifecycle, what key actions are taken?",Affected systems are put back online and tested to ensure there are no further breaches - carefully bringing everything back to normal while staying alert.,,
"The final step in the SANS lifecycle, _____, involves conducting a post-mortem and updating the incident response plan.",Lessons learned,,
Why is it important to maintain an up-to-date cyber security incident log?,"It helps the security team understand key areas of risk, act quickly to mitigate attacks, and provides an audit trail for standards and investigation.",,
How can timely logs serve as an early warning system for an organisation?,"By creating profiles of typical activities, they make it easier to identify suspicious activity that falls outside the norm - spotting things that don't look right.",,
What are the potential legal consequences of not keeping an accurate and timely incident log?,"It could lead to lawsuits, large fines, and delays in reporting breaches as required by regulations like GDPR - plus you won't have evidence of what actually happened.",,
What key information should be included in the 'Key contacts' section of an incident response plan?,"Contact details for the IR team, senior management, legal, PR, HR, and insurance providers, with backups for out-of-hours incidents - who to call in an emergency.",,
What is the purpose of 'Escalation criteria' in an incident response plan?,It sets out the process for how and when to escalate a situation to key decision-makers based on the incident's impact - knowing when to raise the alarm.,,
Why is it important for an incident response plan to identify who has the authority to make critical decisions?,"To avoid delays when actions like taking a critical service offline are necessary - you don't want to waste time asking ""who can approve this?""",,
What is a major risk for an organisation that lacks a cyber security incident response plan?,"A lengthy delay in responding to threats, which can result in loss of revenue, reputational damage, and regulatory fines.",,
How does having an incident response plan benefit security team members personally?,"It provides clear guidance on who to contact and escalate to, preventing them from taking unauthorised actions that could lead to blame if things go wrong.",,
"According to CREST research, what is one of the top challenges organisations face when responding to a cyber security incident?","Identifying a suspected cyber security incident - knowing whether unusual activity is actually an attack or just normal system behaviour, spotting the evidence.",,
"A triage system in an IR plan, such as a traffic light system, is used for what purpose?","To prioritise each incident and determine how serious it is, which then dictates the response required - deciding what needs immediate attention.",,
"In the example IR plan, what information should be logged by the IT emergency contact when an incident is reported?","Details such as the caller's name and contact info, nature of the incident, equipment involved, and how it was detected - creating an initial record.",,
"In an IR plan's threat level assessment, what defines a 'Low' threat level?","Minimal impact, affecting one or two non-critical devices or fewer than 10% of non-critical staff - annoying but not serious.",,
What characteristics define a 'High' threat level incident in an IR plan?,"50% of staff unable to work, risk of a personal data breach, some financial impact, and potential regulatory involvement - things are getting serious.",,
An incident is classified as 'Critical' in an IR plan when what conditions are met?,"The majority of staff are unable to work, critical systems are offline, and there is a high risk or definite breach of sensitive data - all hands on deck.",,
"After an incident, what is one of the key steps for restoring affected systems to an uninfected state?","Re-installing the system from scratch, restoring data from backups, and ensuring the system is fully patched - starting fresh to be certain the malware is gone.",,
What is an incident post-mortem?,"A process that helps organisations learn from past incidents, usually involving a written analysis or discussion after an attack - the 'what happened and how do we prevent it' meeting.",,
What is the most important cultural aspect of an incident post-mortem process?,It must be 'blame-free' to allow everyone involved to speak freely and focus on prevention rather than assigning fault - pointing fingers prevents learning.,,
Who is the 'post-mortem coordinator'?,"The person responsible for running the post-mortem process, often someone who had a leadership role during the incident investigation.",,
What is the first step in the structure of a typical incident post-mortem?,Reviewing the incident at a post-mortem meeting with all individuals who were involved in the response - getting everyone together to discuss what happened.,,
What key information should be included in the 'Incident timeline' section of a post-mortem report?,"Detailed information about events throughout the incident response lifecycle, including escalations and decisions made - a minute-by-minute account.",,
The 'Conclusions and next steps' section of a post-mortem report should outline what?,"What worked and what didn't work during the incident, along with steps to prevent similar problems in the future - the action plan for improvement.",,
"After a post-mortem report is created, what is the crucial next step for ensuring its effectiveness?","It must be shared with everyone involved, including management and decision-makers who can authorise preventative actions.",,
What does 'intensity integrity' mean in the context of an incident post-mortem?,"It means examining the incident in sufficient depth to confirm what is working and what isn't, often revealing multiple causes - digging deep, not just surface-level.",,
What does it mean to apply 'rigour' when carrying out an incident post-mortem?,"It involves questioning assumptions, checking if monitoring failed, and determining if staff were under-resourced or under-trained - challenging the obvious answers.",,
"In a post-mortem, _____ means being thorough and looking at the bigger picture beyond obvious vulnerabilities like firewall misconfigurations.",discipline,,
"In a post-mortem report template, what is the role of the 'Post-mortem coordinator'?",This person is referred to as the 'owner' of the post-mortem process - they're responsible for making sure it happens properly.,,
What should the 'Summary of the event' in a post-mortem report contain?,"A few sentences describing what happened, why, the incident's impact, and how long the impact lasted - the executive summary version.",,
The 'Incident response analysis' section of a post-mortem report aims to answer what type of questions?,"Questions about the effectiveness of the response, such as detection time, escalation processes, and mitigation time - evaluating how well you handled it.",,
What is the purpose of the 'Lessons learned/suggestions' section in a post-mortem report?,To describe what the team has learned and provide detailed suggestions for improvements to prevent similar events - turning experience into action.,,
"When making recommendations based on a post-mortem, why is it important to gain support from senior management?",Senior management may need to approve budgets for new tools or training and support critical decisions - they control the budget.,,
What costs or funding issues need to be considered when following a post-mortem report’s recommendations?,"Provide a variety of options so the organisation can choose based on budget and priorities, offering solutions at different cost levels.",,
"Before making recommendations, it is essential to evaluate the organisation's current security _____, including its skills, expertise, and existing plans.",capability,,
What should be updated after an incident post-mortem?,"Threat intelligence with new information, the incident response plan with lessons learned, and procedures to address identified weaknesses.",,
What is a 'typical activities profile' in cyber security monitoring?,"A baseline created from logged data that describes normal networking and user activities, used to identify anomalies that might indicate an attack.",,
How do organisations create profiles of typical activities?,"By collecting data from operating systems, firewalls, routers, applications and infrastructure elements, then analysing patterns of normal behaviour.",,
Why should each stage of the incident response lifecycle have a checklist?,"To help teams know exactly what to do at each stage, ensuring consistent and complete responses without missing critical steps.",,
Why must an incident response plan consider organisation size?,Because IR plans for different-sized organisations will look different - a large multi-national needs a more complex plan than a small retail company.,,
What is a keylogger and how is it used in cyber attacks?,"Malware that captures keystrokes to steal credentials like usernames, passwords, and banking information - used in the construction company case study.",,
How did the attackers in the construction company case study capture banking credentials?,They used a keylogger installed through malware from a phishing email to capture login credentials as employees typed them.,,
What is an imposter account in the context of phishing attacks?,"A fake email account designed to look like a legitimate contact (e.g., a supplier) to trick recipients into opening malicious content.",,
"In the construction company case study, how did the initial attack occur?",An employee opened an email from what appeared to be a materials supplier but was actually an imposter account containing malware.,,
"Case Study: British Airways Magecart Attack (2018) What type of attack did BA suffer , and what was stolen?","British Airways suffered a Magecart attack where attackers injected malicious code into their website and app, stealing customers’ personal and financial information. ",,
What is a browser?,"A browser is software on a computer or phone that lets you view websites and displays content coded in HTML, CSS, and JavaScript; examples include Chrome, Safari, Firefox, and Edge.",,
What is a search engine?,A search engine is a tool that helps users find information on the internet by indexing and ranking web pages based on keywords; examples Google or Yahoo.,,
What is a virtual machine (VM)?,"A virtual machine lets you run a separate operating system and apps on one computer, so a Mac could run Windows or Linux inside it.",,
What is a hypervisor?,"A hypervisor is software, firmware, or hardware that creates and manages virtual machines (VMs) by allowing multiple operating systems to run on a single physical computer simultaneously.",,
"Can virtual machines communicate with each other, and what controls this?","Yes, virtual machines can communicate if they are on the same virtual or physical network and allowed by firewall or security settings, but they can also be isolated for security.",,
What are some popular hypervisors used to create virtual machines?,"Hyper-V (Microsoft), Oracle VirtualBox, and VMware",,
Can one computer run multiple VMs at the same time?,"Yes, a single computer can run multiple VMs simultaneously, as long as it has enough CPU, memory, and storage.",,
Can VMs run different operating systems on the same physical machine?,"Yes, VMs can run different operating systems independently, such as Windows, Linux, or macOS, on one physical computer.",,
Why are VMs used in cybersecurity?,"VMs allow safe testing of software, malware analysis, network simulations, and isolated environments without affecting the host system.",,
What is cloud computing?,"Cloud computing is the delivery of computing services, like storage, applications, and processing, over the internet instead of using local servers or computers.",,
What is virtualisation?,"Virtualisation is the creation of virtual versions of physical resources, like servers or storage, allowing multiple virtual systems to run on one physical machine.",,
What is CPU?,Central Processing Unit - The “brain” of the computer that performs calculations and executes instructions.,,
What is RAM?,Random Access Memory - Temporary memory used to store data and programs while the computer is running.,,
What is Hard Drive / SSD (Storage)?,"Permanent storage for the operating system, applications, and files.",,
What is Motherboard?,"The main circuit board connecting all components, allowing them to communicate.",,
What is GPU?,"Graphics Processing Unit - Handles rendering images, video, and graphics; important for gaming and design.",,
What is PSU (Power Supply Unit) responsible for?,Provides electrical power to all computer components.,,
What is Network Interface Card (NIC)?,"Enables a computer to connect to networks, wired or wireless.",,
What is VPN?,"Virtual Private Network is a service that creates a secure, encrypted connection over the internet between your device and a remote server, protecting your data and hiding your IP address.",,
What is security component?,"A security component is anything in a computer system that helps keep data, programs, and networks safe from attacks; examples: Firewall, Antivirus software, Encryption tools, Authentication system, Backup systems., ",,
What is cloud security?,"Cloud security keeps your data, apps, and services safe when they’re stored or run on the internet instead of your own computer.",,
What is DR³ stands for?,"DR³ = Disaster Recovery, Redundancy, and Resilience. DR³ is about planning, backing up, and designing systems so they can recover quickly and keep running during problems.",,
What is Ofcom stands for?,"Office of Communications is the UK regulator that oversees TV, radio, internet, and phone services to protect consumers and ensure fair competition.",,
What is ICO stands for?,Information Commissioner’s Office is the UK body that makes sure personal data is protected and that organisations follow data protection laws.,,
What is FIDO2 stands for?,"Fast Identity Online 2 latest version supporting web authentication; log in securely without a password, using biometrics or security keys.",,
What SIEM stands for?,Security Information and Event Management = software that monitors IT systems for security threats and alerts teams.,,
What IAG stands for?,"Identity and Access Governance IAG ensures the right people have the right access to systems and data at the right time, while preventing unauthorised access.",,
What CVE stands for?,Common Vulnerabilities and Exposures a global catalogue of known software vulnerabilities.,,
