question,answer,,
Concept: Digital Sovereignty,"The idea that individual countries should have the right to control their own cyberspace, including digital access and infrastructure, free from international interference.",,
Concept: Net Neutrality,"The principle that internet service providers (ISPs) should treat all content equally, without creating 'fast lanes' for some websites and 'slow lanes' for others.",,
Concept: Zero Rating,"The practice of providing free internet access under certain conditions, such as excluding certain websites or subsidising the service with advertising - free internet with strings attached.",,
What is the International Organization for Standardization (ISO)?,"An independent, non-governmental organisation that develops standards to ensure quality, safety, and efficiency of products, services, and systems worldwide.",,
Which series of ISO standards applies specifically to the security industry?,The ISO/IEC 27000 series - a family of standards dedicated to information security management.,,
What is an Information Security Management System (ISMS)?,"A set of policies and procedures, including all legal, physical, and technical controls, for managing an organisation's information security risks systematically.",,
"Which specific ISO standard details the requirements for establishing, implementing, and maintaining an ISMS?",ISO/IEC 27001, and maintaining an ISMS?,ISO/IEC 27001 - the main standard organisations get certified against to prove their information security management.
 What is the 'liberty vs responsibility' debate in cyberspace?,The tension between individual freedom online and the need for accountability and responsible behaviour - balancing free expression with preventing harm.,,
How does ISO 27032 complement ISO 27001?,"While ISO 27001 covers all aspects of information security broadly, ISO 27032 focuses specifically on cybersecurity guidelines for information systems.",,
Which ISO standard provides a detailed overview of information security controls to help develop an ISMS?,"ISO/IEC 27002 - essentially a catalogue of security controls you can choose from, like a menu of security measures.",,
Which ISO standard describes how to conduct an information security risk assessment in line with ISO 27001?,ISO/IEC 27005 - providing the methodology for identifying and evaluating security risks.,,
Which ISO standard extends an ISMS to cover privacy management and helps with GDPR compliance?,"ISO/IEC 27701 - adding privacy protections on top of security, helping organisations meet both ISO 27001 and GDPR requirements.",,
Which ISO standard provides a framework for a business continuity management system?,"ISO 22301 - ensuring organisations can keep operating during and after disasters, including cyber incidents.",,
Why would digital sovereignty make it difficult to prosecute international cyber crimes?,"If every nation had their own laws and regulations, there would be no agreement on what constitutes a cyber crime - especially problematic when governments are the perpetrators.",,
How can an organisation use its ISO 27001 certification in the event of a data breach?,"It can demonstrate to regulators that it had done all it could to prevent and recover from an attack, potentially reducing fines and showing due diligence.",,
What does ISO/IEC 27011 provide?,Information security management guidelines specifically for telecommunications organisations.,,
What does ISO/IEC 27017 cover?,Code of practice for information security controls specifically for cloud services.,,
What does ISO/IEC 27021 address?,Competence requirements for information security management systems professionals - the skills and knowledge security professionals need.,,
What does ISO/IEC 27033 cover?,IT network security - specific guidance for protecting networks.,,
What does ISO/IEC 27034 address?,Application security - protecting software applications from threats,,
What does ISO/IEC 27035 cover?,Information security incident management - how to handle security incidents systematically.,,
 What does ISO/IEC 27039 address?,Intrusion prevention - stopping attackers before they can breach systems.,,
 What does ISO/IEC 27040 cover?,Storage security - protecting data storage systems and infrastructure.,,
 What does ISO 27799 provide?,Guidelines for health industry organisations on protecting personal health information using ISO/IEC 27002 - sector-specific guidance.,,
What is meant by 'ethics' in a professional context?,Standards of behaviour based on understanding or agreement of what is 'right' or 'wrong' - the moral principles guiding professional conduct.,,
How can ISO standards help organisations win business?,"Some businesses require ISO certification as a condition of doing business, especially government bodies - it's a competitive advantage.",,
How does ISO certification help draw in customers and clients?,"It gives assurance that their data is safe and reduces the organisation's information security and data protection risks, improving reputation.",,
 How many control guidelines does ISO 27001 include?,"114 controls across 13 areas - though organisations aren't required to implement all of them, just those relevant to their needs.",,
"What ethical duty requires a cyber security professional to protect personal, private, or proprietary information?",Maintaining confidentiality., or proprietary information?,Maintaining confidentiality - keeping secrets secret and not misusing privileged access to information.
Why is failing to follow security procedures considered unethical for a cybersecurity professional?,"It sends the message that procedures aren’t important and undermines the organisation’s security culture, effectively leading by bad example.",,
What ethical duty does a security specialist have to protect information within an organisation?,"To promote good security practices and help everyone follow them, being an advocate rather than just an enforcer.",,
Term: Conflict of Interest,"A conflict of interest occurs when someone can use their knowledge or influence to benefit themselves, which compromises their objectivity.",,
A conflict of interest where a networking administrator uses their position to secure a contract for a company they part-own is known as _____.,self-dealing,,
What is 'moonlighting' in a professional context?,Using an employer's confidential information to help run a side business - essentially stealing company knowledge for personal profit.,,
"An example of state-sponsored sabotage is the malware called _____, which was used to damage nuclear centrifuges in Iran.",Stuxnet,,
What is an example of state-sponsored sabotage?,Stuxnet malware used by the US and Israel in 2010 to damage around one-fifth of nuclear centrifuges in Iran - government-level cyber warfare.,,
What is 'hacking back'?,"When an organisation retaliates against a hacking attack by hacking the attacker in return - essentially vigilante cyber warfare, which is usually illegal.",,
What is an example of unethical conduct involving the misuse of confidential information by a cyber security professional?,Stealing a company's trade secrets to sell for profit or use for blackmail - abusing privileged access for personal gain.,,
Why is there a basic ethical duty for cyber professionals to disclose risks as soon as they are found?,So that those affected can make informed decisions to protect themselves - hiding known vulnerabilities is unethical and potentially illegal.,,
What is 'whistleblowing'?,When an employee who knows their employer has done something wrong or unethical brings this to the attention of authorities or the media - speaking up about wrongdoing.,,
What makes ‘whistleblowing' ethically complex?,You might need to steal proprietary information (a crime) to expose wrongdoing - choosing between breaking the law and exposing unethical behaviour.,,
What is the Edward Snowden example of whistleblowing complexity?,He exposed unethical NSA surveillance but committed crimes by stealing documentation and potentially endangered lives and national security - hero or criminal?,,
"One way cyber security laws enhance preparedness is by establishing common, mandatory standards of _____, creating a unified defence.", security, creating a unified defence.,security
What is one of the eight principles of the Data Protection Act?,Data must be collected and used fairly and within the law - no sneaky or deceptive data collection.,,
What is another one of the eight principles of the Data Protection Act?,Data must only be held and used for the reasons given to the Information Commissioner - you can't collect data for one purpose then use it for something else.,,
A principle of the Data Protection Act states data cannot be given away or sold unless you said you would initially. What is this principle?,Data can only be used for those registered purposes - no surprise sharing or selling of personal information.,,
"According to the DPA, the data held must be acceptable, appropriate and not _____ when compared with its purpose.",beyond what is necessary,,
A principle of the Data Protection Act requires data to be accurate and what else?,"Kept up to date - old, incorrect data is not only useless but potentially harmful.",,
A principle of the Data Protection Act is that data must be kept _____ and secure.,"safe - protected from unauthorised access, loss, or damage through appropriate technical and organisational measures.",,
A principle of the Data Protection Act states that data may not be transferred outside of the _____.,European Economic Area (EEA) - unless adequate protections are in place.,,
Which act makes it an offence to send an electronic communication that conveys a threat or is grossly offensive with intent to cause distress?,The Malicious Communications Act 1988 - protecting people from threatening or abusive messages.,,
What does an ISMS conforming to ISO 27001 automatically do in relation to Article 32 of the GDPR?,"It meets all the requirements, such as ensuring confidentiality, integrity, availability, and resilience of processing systems - ISO 27001 helps achieve GDPR compliance.",,
The _____ works to foster collaboration among global technology companies to protect users and defend against malicious threats.,Cybersecurity Tech Accord,,
The Global Commission on the Stability of Cyberspace helps promote _____ among various cyberspace communities.,mutual awareness and understanding,,
What ethical principle does the Dave case study illustrate?,"Using employer resources (computer time) for personal projects - the ethics depend on various contextual factors like permission, compensation, and impact.",,
