question_id,unit,question,answer_a,answer_b,answer_c,answer_d,correct,explanation_correct,hint
U2Q029,2,"What is credential stuffing?","Creating strong passwords","Installing antivirus software","Using stolen credentials on multiple sites","Configuring firewalls properly",C,"That's right! Credential stuffing uses stolen username and password combinations from one breach to attempt logins on other sites, exploiting password reuse.","Think about reusing stolen login information."
U2Q030,2,"Which attack aims to make systems inaccessible to users?","Encryption process","Authentication method","Denial of Service attack","Backup procedure",C,"That's right! DoS and DDoS attacks overwhelm systems with traffic or exploit vulnerabilities to make machines or networks inaccessible to their intended users.","Consider attacks that deny access to services."
U2Q031,2,"What is the STRIDE threat model?","Microsoft model for six threat types","A walking method","A network protocol","A programming language",A,"That's right! STRIDE is a threat modeling framework created by Microsoft that uses a checklist to systematically evaluate systems against six categories of security threats.","Think about a mnemonic for six threat types."
U2Q032,2,"In STRIDE, what does 'S' stand for?","Security measure","Spoofing identity","System component","Storage method",B,"That's right! Spoofing occurs when an unauthorized user pretends to be an authorized one, such as through fake credentials, impersonation, or identity theft.","Consider pretending to be someone you're not."
U2Q033,2,"In STRIDE, what does 'T' stand for?","Technology type","Testing method","Tampering with data","Transmission protocol",C,"That's right! Tampering involves attackers modifying data, code, or system components without authorization, potentially compromising integrity and functionality.","Think about unauthorized modifications."
U2Q034,2,"In STRIDE, what does 'I' stand for?","Installation process","Information disclosure","Integration method","Inspection procedure",B,"That's right! Information disclosure occurs when sensitive data is leaked, hacked, or exposed to unauthorized parties, compromising confidentiality.","Consider unauthorized data exposure."
U2Q035,2,"In STRIDE, what does 'E' stand for?","Escalation of privilege","Encryption method","Evaluation process","Execution procedure",A,"That's right! Escalation of privilege happens when attackers grant themselves additional permissions or access levels beyond what they should have.","Think about unauthorized promotion of access rights."
U2Q036,2,"What is the PASTA threat model's main focus?","Passwords only","Storage systems","Attackers and security requirements","Networks configuration",C,"That's right! PASTA (Process for Attack Simulation and Threat Analysis) focuses on understanding attackers and their methods to identify security requirements aligned with business objectives.","Consider a threat model centered on attacker perspective."
U2Q037,2,"Which model assesses privacy threats in seven categories?","STRIDE model","PASTA model","LINDDUN model","DREAD model",C,"That's right! LINDDUN specifically analyzes privacy threats across seven categories including linkability, identifiability, non-repudiation, detectability, information disclosure, unawareness, and non-compliance.","Think about a privacy-focused threat model."
U2Q038,2,"What is the Common Vulnerability Scoring System (CVSS)?","Standardized vulnerability scoring system","A programming language","A firewall system","An encryption method",A,"That's right! CVSS provides a standardized way to rate the severity of known vulnerabilities, helping security teams prioritize which threats to address first based on their potential impact.","Consider a universal rating system for vulnerabilities."
U2Q039,2,"What are attack trees?","Physical trees outdoors","Diagrams showing attack methods","Plant structures growing","Network cables layout",B,"That's right! Attack trees are visual diagrams that map out attacks on a system, with the attacker's goal as the root and the various methods to achieve it as branches and leaves.","Think about a tree structure showing attack paths."
U2Q040,2,"What does the Persona non grata (PnG) threat model focus on?","Attackers' motivations and abilities","Hardware components only","Network speed optimization","Software updates process",A,"That's right! The PnG model focuses on understanding attackers as personas - their motivations, abilities, and likely targets - to better predict and prevent attacks.","Consider creating profiles of potential attackers."
U2Q041,2,"What is the first step in the PASTA threat model?","Start coding immediately","Identify and define objectives","Install software systems","Create backup plans",B,"That's right! The first PASTA step is defining clear objectives - understanding what needs to be protected and why, aligning security with business goals.","Think about knowing your goals before planning."
U2Q042,2,"What is the final step of PASTA?","Delete everything completely","Restart all systems","Risk analysis and countermeasures","Hire more staff",C,"That's right! The final PASTA step creates a comprehensive report detailing identified risks, vulnerabilities, and recommended countermeasures based on the complete threat analysis.","Consider the actionable output of the analysis."
U2Q043,2,"How does a virus differ from a worm?","Virus needs user action, worm self-replicates","No difference at all","Virus self-replicates automatically","A worm needs user action",A,"That's right! A virus infects legitimate files and requires user action to execute and spread, while a worm can self-replicate and spread automatically without human involvement.","Consider which one spreads on its own."
U2Q044,2,"What is a Trojan?","Antivirus software program","Malicious code disguised as legitimate","A firewall system","An operating system",B,"That's right! A Trojan is malware that appears to be legitimate software but contains harmful code, relying on users to execute it thinking it's safe.","Think about the Greek wooden horse story."
U2Q045,2,"What is a bot?","Good security software","An antivirus program","Combination of Trojan and worm","A password manager",C,"That's right! A bot combines Trojan and worm characteristics to infect computers and link them together into a larger network controlled by an attacker.","Consider infected computers working together."
U2Q046,2,"What is a botnet?","Network of compromised computers","A fishing net","An antivirus system","A firewall configuration",A,"That's right! A botnet is a network of compromised computers controlled by a botmaster, used to launch large-scale attacks like DDoS or send spam.","Think about an army of zombie computers."
U2Q047,2,"What is ransomware?","Free software program","Malware demanding ransom payment","An antivirus tool","A backup system",B,"That's right! Ransomware encrypts a victim's files or locks their system, then demands payment (usually in cryptocurrency) to restore access to the data.","Consider digital extortion."
U2Q048,2,"What is adware?","Security software program","A firewall system","Malware exposing unwanted advertising","An operating system",C,"That's right! Adware attempts to expose users to unwanted advertising, often by redirecting browser searches, displaying pop-ups, or tracking browsing behavior for targeted ads.","Think about annoying ads and pop-ups."
U2Q049,2,"What is the purpose of spyware?","Secretly log keystrokes and activities","Improve computer performance","Speed up systems","Create regular backups",A,"That's right! Spyware secretly monitors and records user activities, keystrokes, and data to steal passwords, financial information, and other sensitive details.","Consider software that watches everything you do."
U2Q050,2,"What is a common sign of malware infection?","Faster computer performance","Better overall performance","Spam sent from your accounts","Improved system security",C,"That's right! A telltale sign of malware infection is when spam or malicious messages are automatically sent from your accounts to your contacts without your knowledge or permission.","Think about your account sending things you didn't authorize."
