question_id,unit,question,answer_a,answer_b,answer_c,answer_d,correct,explanation_correct,hint
U4Q026,4,"What should be done immediately upon detecting a potential incident?","Ignore it completely","Delete all available evidence immediately","Document and report according to procedures","Panic and do absolutely nothing",C,"That's right! Upon detection, the incident should be immediately documented with all available details and reported according to established procedures to initiate the response process.","Think about proper initial response."
U4Q027,4,"Why is incident classification important?","It's not important","It's optional","Determines response priority and resources","To waste time",C,"That's right! Classifying incidents by type and severity determines response priority, required resources, escalation paths, and appropriate response procedures for effective handling.","Consider triage and resource allocation."
U4Q028,4,"What role does the incident response team leader play?","Nothing specific really","Coordinates response, makes decisions, communicates","Only observes from distance","Assigns blame to individuals",B,"That's right! The team leader coordinates the overall response, makes critical decisions, manages resources, communicates with stakeholders, and ensures the plan is followed effectively.","Think about leadership during crisis."
U4Q029,4,"What is forensic analysis in incident response?","Deleting all evidence","Ignoring the incident","Random investigation","Detailed examination of attack methods",D,"That's right! Forensic analysis involves detailed examination of systems, logs, and evidence to understand how the attack occurred, what was affected, and who was responsible.","Consider technical investigation and evidence analysis."
U4Q030,4,"Why should affected systems be isolated during response?","To improve overall performance","Prevent attacker causing more damage","To speed up networks","It's not necessary",B,"That's right! Isolating affected systems prevents attackers from moving laterally through the network, accessing additional resources, or causing further damage while the incident is contained.","Think about containment and limitation."
U4Q031,4,"What is the purpose of a communication plan in incident response?","Create confusion and uncertainty","Manage internal and external communications","Ignore all stakeholders completely","Hide information from everyone",B,"That's right! A communication plan manages both internal communications with staff and external communications with customers, partners, regulators, and media to control information flow and maintain trust.","Consider coordinated messaging."
U4Q032,4,"What should be included in incident documentation?","Nothing specific required","Timeline, actions, decisions, evidence","Only final outcomes","Random unorganized notes",B,"That's right! Comprehensive documentation includes detailed timeline, all actions taken, decisions made, evidence collected, people involved, and results achieved throughout the incident response.","Think about complete record keeping."
U4Q033,4,"What is a key step for restoring affected systems after an incident?","Leave them infected","Ignore the problem","Just restart them","Reinstall, restore, ensure patched",D,"That's right! Proper system restoration involves reinstalling the system from scratch, restoring data from clean backups, and ensuring the system is fully patched before bringing it back online.","Consider thorough cleaning and hardening."
U4Q034,4,"What is an incident post-mortem?","Analyzing past incidents to learn","Ignoring all incidents","Celebrating success","Blaming individuals",A,"That's right! An incident post-mortem is a structured process that helps organizations learn from past incidents through written analysis or facilitated discussions after security attacks or breaches.","Think about formal learning from incidents."
U4Q035,4,"What is the most important cultural aspect of a post-mortem?","Assigning personal blame","Must be blame-free environment","Punishing staff members","Finding scapegoats",B,"That's right! Post-mortems must be blame-free environments where all participants can speak freely about what happened, focusing on prevention and improvement rather than assigning fault or punishment.","Consider psychological safety for learning."
U4Q036,4,"Who is the post-mortem coordinator?","Anyone random","The newest employee","Person responsible, often incident leader","An outside consultant",C,"That's right! The post-mortem coordinator is responsible for organizing and facilitating the post-mortem process, typically someone who had a leadership role during the incident investigation.","Think about who leads the retrospective."
U4Q037,4,"What is the first step in a typical incident post-mortem structure?","Writing the final report","Deleting all evidence","Ignoring the incident","Reviewing incident with all responders",D,"That's right! The first step is conducting a post-mortem meeting that brings together all individuals who were involved in the incident response to review and discuss what happened.","Consider collaborative review sessions."
U4Q038,4,"What should the Incident timeline section of a post-mortem report include?","Just dates only","Only outcomes","Detailed events, escalations, decisions","Brief summary",C,"That's right! The incident timeline provides detailed chronological information about all events throughout the incident response lifecycle, including escalations, key decisions, and critical actions taken.","Think about comprehensive chronological documentation."
U4Q039,4,"What should the Conclusions section of a post-mortem outline?","Nothing specific","Only successes","What worked, didn't work, prevention steps","Only failures",C,"That's right! The Conclusions and next steps section objectively outlines what worked well, what failed, and specific steps needed to prevent similar problems in future incidents.","Consider balanced assessment and forward planning."
U4Q040,4,"What is crucial after creating a post-mortem report?","Disseminate to everyone including management","File it away forever","Keep it secret","Delete it immediately",A,"That's right! Post-mortem reports must be disseminated to all involved parties, including senior management and decision-makers who can authorize the preventative actions and improvements recommended.","Think about actionable distribution."
U4Q041,4,"What does intensity integrity mean in a post-mortem?","Surface analysis only","Examining deeply to reveal causes","Quick review","Ignoring details",B,"That's right! Intensity integrity means examining the incident in sufficient depth and thoroughness to truly understand what is working and what isn't, often revealing multiple contributing causes.","Consider deep, thorough analysis."
U4Q042,4,"What does applying rigour in a post-mortem involve?","Accepting all assumptions without question","Skipping detailed analysis completely","Questioning assumptions, checking monitoring","Blaming individual employees",C,"That's right! Rigour involves critically questioning assumptions, checking whether monitoring systems failed, determining if staff were under-resourced or under-trained, and examining all contributing factors.","Think about methodical, critical examination."
U4Q043,4,"What does discipline mean in a post-mortem context?","Quick fixes only","Surface-level review","Rushing to conclusions","Being thorough, looking beyond obvious",D,"That's right! Discipline in post-mortems means being thorough and comprehensive, looking at the bigger picture beyond obvious vulnerabilities like firewall misconfigurations to understand systemic issues.","Consider holistic systemic analysis."
U4Q044,4,"What should the Summary of the event in a post-mortem contain?","Everything in complete detail","One word only","Just dates","Brief what, why, severity, duration",D,"That's right! The summary should concisely describe in a few sentences what happened, why it happened, the incident's severity classification, and how long the impact lasted.","Think about executive overview."
U4Q045,4,"What does the Incident response analysis section aim to answer?","Nothing specific","Only technical details","Questions about response effectiveness","Only financial costs",C,"That's right! This section analyzes the effectiveness of the response, answering questions about how quickly the incident was detected, how escalation processes worked, and how long mitigation took.","Consider evaluating your response performance."
U4Q046,4,"What is the purpose of the Lessons learned section?","Assign blame","Celebrate only","Hide failures","Describe learnings and improvements",D,"That's right! The Lessons Learned section describes what the team discovered through the incident and provides detailed, actionable suggestions for improvements to prevent similar events.","Think about extracting value from experience."
U4Q047,4,"Why is senior management support important for post-mortem recommendations?","It's not important","To complicate","To delay action","They approve budgets and decisions",D,"That's right! Senior management support is crucial because they must approve budgets for new security tools or training programs and support critical decisions recommended in the post-mortem.","Consider who controls resources and authority."
U4Q048,4,"What budgetary considerations should be made for post-mortem recommendations?","No budget needed","Only expensive","Unlimited spending","Present range aligning with budget",D,"That's right! Recommendations should include a range of options at different price points that align with the organization's budget, helping prioritize security spending effectively.","Think about realistic, scalable options."
U4Q049,4,"What should be assessed before making post-mortem recommendations?","Nothing","Only technology","Current security capability, skills, expertise","Only budget",C,"That's right! Before making recommendations, it's crucial to assess the organization's current security capability, including available skills, expertise, existing security plans, and resources.","Consider organizational readiness and capacity."
U4Q050,4,"What is a CSIRT?","A virus","Computer Security Incident Response Team","A software","A protocol",B,"That's right! A CSIRT (Computer Security Incident Response Team) is a dedicated group responsible for receiving, reviewing, and responding to computer security incident reports and activities.","Think about the team handling security incidents."
